InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
536386,85099B,JUMBO BAG RED RETROSPOT,100,01-12-2010 09:57,1.65,16029
536390,85099B,JUMBO BAG RED RETROSPOT,100,01-12-2010 10:19,1.65,17511
536409,85099B,JUMBO BAG RED RETROSPOT,2,01-12-2010 11:45,1.95,17908
536464,85099B,JUMBO BAG RED RETROSPOT,1,01-12-2010 12:23,1.95,17968
536522,85099B,JUMBO BAG RED RETROSPOT,1,01-12-2010 12:49,1.95,15012
536526,85099B,JUMBO BAG RED RETROSPOT,10,01-12-2010 12:58,1.95,14001
536542,85099B,JUMBO BAG RED RETROSPOT,40,01-12-2010 14:11,1.95,16456
536544,85099B,JUMBO BAG RED RETROSPOT,1,01-12-2010 14:32,4.21,
536575,85099B,JUMBO BAG RED RETROSPOT,70,01-12-2010 16:01,1.65,13777
536576,85099B,JUMBO BAG RED RETROSPOT,30,01-12-2010 16:11,1.65,13777
536581,85099B,JUMBO BAG RED RETROSPOT,200,01-12-2010 16:19,1.65,13777
536592,85099B,JUMBO BAG RED RETROSPOT,1,01-12-2010 17:06,4.21,
536607,85099B,JUMBO BAG RED RETROSPOT,10,02-12-2010 09:29,1.95,17732
536632,85099B,JUMBO BAG RED RETROSPOT,10,02-12-2010 11:02,1.95,14388
536643,85099B,JUMBO BAG RED RETROSPOT,2,02-12-2010 11:57,1.95,14390
536643,85099B,JUMBO BAG RED RETROSPOT,3,02-12-2010 11:57,1.95,14390
536777,85099B,JUMBO BAG RED RETROSPOT,20,02-12-2010 15:00,1.95,15732
536799,85099B,JUMBO BAG RED RETROSPOT,3,02-12-2010 16:00,1.95,17228
536862,85099B,JUMBO BAG RED RETROSPOT,2,03-12-2010 11:13,4.21,
536864,85099B,JUMBO BAG RED RETROSPOT,1,03-12-2010 11:27,4.21,
536865,85099B,JUMBO BAG RED RETROSPOT,1,03-12-2010 11:28,4.21,
536874,85099B,JUMBO BAG RED RETROSPOT,3,03-12-2010 11:35,1.95,16891
536876,85099B,JUMBO BAG RED RETROSPOT,2,03-12-2010 11:36,4.21,
536967,85099B,JUMBO BAG RED RETROSPOT,30,03-12-2010 12:57,1.95,12600
537026,85099B,JUMBO BAG RED RETROSPOT,10,03-12-2010 16:35,1.95,12395
537057,85099B,JUMBO BAG RED RETROSPOT,4,05-12-2010 11:49,1.95,15351
537126,85099B,JUMBO BAG RED RETROSPOT,1,05-12-2010 12:13,1.95,18118
537135,85099B,JUMBO BAG RED RETROSPOT,3,05-12-2010 12:35,1.95,17059
537144,85099B,JUMBO BAG RED RETROSPOT,1,05-12-2010 13:00,1.95,15880
537154,85099B,JUMBO BAG RED RETROSPOT,20,05-12-2010 13:05,1.95,15808
537212,85099B,JUMBO BAG RED RETROSPOT,10,05-12-2010 15:21,1.95,12720
537227,85099B,JUMBO BAG RED RETROSPOT,100,06-12-2010 08:42,1.65,17677
537237,85099B,JUMBO BAG RED RETROSPOT,4,06-12-2010 09:58,4.21,
537238,85099B,JUMBO BAG RED RETROSPOT,5,06-12-2010 10:03,1.95,16161
537240,85099B,JUMBO BAG RED RETROSPOT,4,06-12-2010 10:08,4.21,
537262,85099B,JUMBO BAG RED RETROSPOT,10,06-12-2010 11:26,1.95,15039
537354,85099B,JUMBO BAG RED RETROSPOT,6,06-12-2010 12:23,1.95,12748
537365,85099B,JUMBO BAG RED RETROSPOT,20,06-12-2010 12:38,1.95,15078
537369,85099B,JUMBO BAG RED RETROSPOT,1,06-12-2010 12:41,1.95,17860
537372,85099B,JUMBO BAG RED RETROSPOT,1,06-12-2010 12:52,1.95,16919
537392,85099B,JUMBO BAG RED RETROSPOT,6,06-12-2010 13:58,1.95,17068
537476,85099B,JUMBO BAG RED RETROSPOT,300,07-12-2010 11:26,1.65,15838
C537602,85099B,JUMBO BAG RED RETROSPOT,-1,07-12-2010 12:45,1.65,17511
537607,85099B,JUMBO BAG RED RETROSPOT,4,07-12-2010 13:18,1.95,15965
537614,85099B,JUMBO BAG RED RETROSPOT,1,07-12-2010 13:29,1.95,16904
537617,85099B,JUMBO BAG RED RETROSPOT,10,07-12-2010 13:45,1.95,16086
537638,85099B,JUMBO BAG RED RETROSPOT,1,07-12-2010 15:28,4.21,
537641,85099B,JUMBO BAG RED RETROSPOT,1,07-12-2010 15:32,4.21,
537642,85099B,JUMBO BAG RED RETROSPOT,11,07-12-2010 15:33,4.21,
537643,85099B,JUMBO BAG RED RETROSPOT,1,07-12-2010 15:34,4.21,
537645,85099B,JUMBO BAG RED RETROSPOT,4,07-12-2010 15:34,4.21,
537650,85099B,JUMBO BAG RED RETROSPOT,10,07-12-2010 15:48,1.95,16125
537755,85099B,JUMBO BAG RED RETROSPOT,10,08-12-2010 11:31,1.95,16525
537762,85099B,JUMBO BAG RED RETROSPOT,10,08-12-2010 12:01,1.95,16558
537768,85099B,JUMBO BAG RED RETROSPOT,10,08-12-2010 12:11,1.95,15750
537781,85099B,JUMBO BAG RED RETROSPOT,1,08-12-2010 12:46,1.95,17341
537793,85099B,JUMBO BAG RED RETROSPOT,100,08-12-2010 12:57,1.65,15032
537823,85099B,JUMBO BAG RED RETROSPOT,4,08-12-2010 14:25,4.21,
537829,85099B,JUMBO BAG RED RETROSPOT,30,08-12-2010 14:46,1.95,15498
537840,85099B,JUMBO BAG RED RETROSPOT,20,08-12-2010 15:03,1.95,13531
537864,85099B,JUMBO BAG RED RETROSPOT,20,08-12-2010 16:34,1.95,16700
538035,85099B,JUMBO BAG RED RETROSPOT,1,09-12-2010 13:03,1.95,16065
538040,85099B,JUMBO BAG RED RETROSPOT,3,09-12-2010 13:08,1.95,16520
538071,85099B,JUMBO BAG RED RETROSPOT,3,09-12-2010 14:09,4.21,
C538083,85099B,JUMBO BAG RED RETROSPOT,-3,09-12-2010 14:40,1.95,15750
538116,85099B,JUMBO BAG RED RETROSPOT,10,09-12-2010 15:32,1.95,13327
538149,85099B,JUMBO BAG RED RETROSPOT,1,09-12-2010 16:27,4.21,
538153,85099B,JUMBO BAG RED RETROSPOT,2,09-12-2010 16:31,4.21,
538154,85099B,JUMBO BAG RED RETROSPOT,1,09-12-2010 16:35,4.21,
538177,85099B,JUMBO BAG RED RETROSPOT,2,10-12-2010 09:51,4.21,
538311,85099B,JUMBO BAG RED RETROSPOT,10,10-12-2010 13:48,1.95,12785
538349,85099B,JUMBO BAG RED RETROSPOT,3,10-12-2010 14:59,4.21,
C538350,85099B,JUMBO BAG RED RETROSPOT,-12,10-12-2010 15:01,1.65,13798
538353,85099B,JUMBO BAG RED RETROSPOT,100,10-12-2010 15:31,1.65,13798
538354,85099B,JUMBO BAG RED RETROSPOT,10,10-12-2010 15:45,1.95,16873
538374,85099B,JUMBO BAG RED RETROSPOT,1,12-12-2010 11:17,1.95,14159
538524,85099B,JUMBO BAG RED RETROSPOT,2,13-12-2010 09:35,4.21,
538566,85099B,JUMBO BAG RED RETROSPOT,4,13-12-2010 11:21,4.21,
538630,85099B,JUMBO BAG RED RETROSPOT,10,13-12-2010 13:25,1.95,14565
538645,85099B,JUMBO BAG RED RETROSPOT,10,13-12-2010 14:52,1.95,13269
538683,85099B,JUMBO BAG RED RETROSPOT,2,13-12-2010 17:40,1.95,14525
538799,85099B,JUMBO BAG RED RETROSPOT,10,14-12-2010 11:48,1.95,15039
538800,85099B,JUMBO BAG RED RETROSPOT,10,14-12-2010 11:51,1.95,16458
538808,85099B,JUMBO BAG RED RETROSPOT,2,14-12-2010 12:11,1.95,14057
538811,85099B,JUMBO BAG RED RETROSPOT,10,14-12-2010 12:22,1.95,13178
538849,85099B,JUMBO BAG RED RETROSPOT,10,14-12-2010 13:31,1.95,14415
538865,85099B,JUMBO BAG RED RETROSPOT,10,14-12-2010 14:37,1.95,13238
538881,85099B,JUMBO BAG RED RETROSPOT,4,14-12-2010 15:54,4.21,
538883,85099B,JUMBO BAG RED RETROSPOT,2,14-12-2010 15:56,4.21,
538890,85099B,JUMBO BAG RED RETROSPOT,5,14-12-2010 16:39,1.95,12867
538945,85099B,JUMBO BAG RED RETROSPOT,20,15-12-2010 11:22,1.95,17230
539042,85099B,JUMBO BAG RED RETROSPOT,20,15-12-2010 15:37,1.95,15062
539049,85099B,JUMBO BAG RED RETROSPOT,40,15-12-2010 16:21,1.95,15615
539086,85099B,JUMBO BAG RED RETROSPOT,30,16-12-2010 09:35,1.95,17001
